GBPUSD=X,GBP/USD
GBPEUR=X,GBP/EUR
EURUSD=X,EUR/USD
GBPJPY=X,GBP/JPY
JPY=X,USD/JPY
GBP=X,USD/GBP
GBPAUD=X,GBP/AUD
GBPBRL=X,GBP/BRL
GBPCAD=X,GBP/CAD
GBPCHF=X,GBP/CHF
GBPCNY=X,GBP/CNY
GBPINR=X,GBP/INR
GBPNOK=X,GBP/NOK
GBPQAR=X,GBP/QAR
GBPZAR=X,GBP/ZAR
EURCHF=X,EUR/CHF
EURCAD=X,EUR/CAD
EURJPY=X,EUR/JPY
EURSEK=X,EUR/SEK
EURHUF=X,EUR/HUF
CAD=X,USD/CAD
USDHKD=X,USD/HKD
USDSGD=X,USD/SGD
INR=X,USD/INR
USDMXN=X,USD/MXN
EURJPY=X,EUR/JPY
CNY=X,USD/CNY
CHF=X,USD/CHF
